,0,1,2,3,4
0,CoD Hex,CoD Binary,CoD Bits,Bluetooth Device Example,Confirmed
1,0x000000,000000000000000000000000,noneMajor Service Class none Major Device Class none Minor Device Class none,noneDell Wireless 370 Bluetooth Mini-card Dell Wireless 370 Bluetooth Mini-card Dell Wireless 370 Bluetooth Mini-card Vehicle Printek Mt2 Series Mobile Printer Bluetooth2.1+EDR CLASS1,"Yes00:16:44 – LITE-ON Technology Co 70:F1:A1 – Liteon Technology Corporation 00:25:56 – Hon Hai Precision Ind. Co., Ltd. 00:09:71 – Time Management, Inc. 00:12:F3 – connectBlue AB 00:15:83 – IVT corporation"
2,0x000020,000000000000000000100000,"17 | 9,8 | noneMajor Service Class none Major Device Class none Minor Device Class CoD Bit 5: Unknown",UnknownTC1920 32-Bit Single-Chip Microcontroller,Yes00:03:19 – Infineon AG
3,0x001101,000000000001000100000001,"none | 12,8 | none | 0Major Service Class none Major Device Class CoD Bits 12,8: All other values reserved Minor Device Class none Format Type CoD Bits 0",nonePossible SMA Solar Panel Controller,Yes00:80:25 – STOLLMANN GMBH
4,0x001f00,000000000001111100000000,"none | 12,11,10,9,8 | noneMajor Service Class none Major Device Class CoD Bits 12,11,10,9,8: Uncategorized, specific device code not specified Minor Device Class none",noneOBDII HOLUX GPSlim240 none Tasman GPS TomTom Remote Control TomTom ONE XL TomTom ONE Serial Adaptor TomTom ONEv4 K40 Slave – Radar & Laser Defuser TomTom GO 300 Broadcom Bluetooth Device Bluetooth GPS – BTGPS OBDII M FireFly Bluetooth Serial Adapter,"Yes00:19:5D ShenZhen XinHuaTong Opto Electronics Co.,Ltd 00:0B:0B – Corrent Corporation 00:06:66 – Roving Networks 00:12:6F – Rayson Technology Co., Ltd. 00:13:6C – Tomtom 00:13:6C – Tomtom 00:13:6C – Tomtom 00:18:DB – EPL Technology Ltd 00:13:6C – Tomtom 00:14:74 – K40 Electronics 00:13:6C – TomTom 40:2C:F4 – Universal Global Scientific Industrial Co., Ltd. 00:02:78 – Samsung Electro-Mechanics Co., Ltd. 00:02:5B – Cambridge Silicon Radio 00:06:66 – Roving Networks"
5,0x001f1f,000000000001111100011111,"none | 12,11,10,9,8 | 4,3,2 | 1,0Major Service Class none Major Device Class CoD Bits 8,9,10,11,12: Uncategorized, specific device code not specified Minor Device Class CoD Bits 2,3,4: Unknown Format Type CoD Bits 0,1",Unknownunknown,"Yes00:19:5D – ShenZhen XinHuaTong Opto Electronics Co.,Ltd"
6,0x0020fc,000000000010000011111100,"13 | none | 7,6,5,4,3,2Major Service Class CoD Bit 13: Limited Discoverable Mode [Ref #1] Major Device Class none Minor Device Class CoD Bits 2,3,4,5,6,7: Unknown",UnknownSony Ericsson LiveView Phone Remote w/Micro Display,YesB8:F9:34 – Sony Ericsson Mobile Communications AB
7,0x011f00,000000010001111100000000,"16 | 12,11,10,9,8 | noneMajor Service Class CoD Bit 16: Positioning (Location identification) Major Device Class CoD Bits 8,9,10,11,12: Uncategorized, specific device code not specified Minor Device Class none",noneUnknown,"Yes00:03:7A – Taiyo Yuden Co., Ltd"
8,0x020000,000000100000000000000000,"23,22,21,20,19,18,17,16 | 8 | 2Major Service Class CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class none Minor Device Class none",Desktop WorkstationWindows Desktop Computer,"Yes74:F0:6D – AzureWave Technologies, Inc."
9,0x100000,000100000000000000000000,"20 | none | noneMajor Service Class CoD Bit 20: Object Transfer (v-Inbox, v-Folder, …) Major Device Class none Minor Device Class none",noneUnknown,Yes00:24:01 – D-Link Corporation
