,0,1,2,3,4
0,CoD Hex,CoD Binary,CoD Bits,Bluetooth Device Example,Confirmed
1,0x000408,000000000000010000001000,"none | 10 | 3Major Service Class None Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DeviceBluetooth Car Kit Unknown,"Yes00:1C:12 – Motorola Mobility, Inc. 00:1E:B2 – LG innotek"
2,0x00041c,000000000000010000011100,"none | 10 | 4,3,2Major Service Class none Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…..) Minor Device Class CoD Bits 2,3,4: Portable Audio",Portable AudioiPad 3,"Yes4C:B1:99 – Apple, Inc."
3,0x000424,000000000000010000100100,"none | 10 | 5,2Major Service Class none Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 2,5: Set-top box",Set-top BoxRoku Roku Player,"YesCC:6D:A0 – Roku, Inc. 00:0D:4B – Roku, LLC"
4,0x00043c,000000000000010000111100,"none | 10 | 5,4,3,2Major Service Class none Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 5,4,3,2: Video Display and Loudspeaker",Video DisplaySamsung 32″ LE32D550 DTVBluetooth DTVBluetooth,"Yes60:6B:BD – Samsung Electronics Co., LTD 60:6B:BD – Samsung Electronics Co., LTD E4:E0:C5 – Samsung Electronics Co., LTD"
5,0x08043c,000010000000010000111100,"19 | 10 | 5,4,3,2Major Service Class CoD Bit 19: Capturing (Scanner, Microphone, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 5,4,3,2: Video Display and Loudspeaker",Video DisplaySamsung UE32D5520 32″ LCD TV Samsung 37-inch 3D Smart LED TV UE37ES6300 TVBluetooth,"YesE4:E0:C5 – Samsung Electronics Co., LTD 1C:5A:3E – Samsung Eletronics Co., Ltd (Visual Display Divison) C4:73:1E – Samsung Eletronics Co., Ltd"
6,0x0a041c,000010100000010000011100,"19,17 | 10 | 4,3,2Major Service Class CoD Bit 19: Capturing (Scanner, Microphone, …) CoD Bit 17: Networking (LAN, Ad hoc, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 2,3,4: Portable Audio",Portable AudioiPod iPad,"Yes00:26:4A – Apple, Inc. 90:84:0D – Apple, Inc"
7,0x200404,001000000000010000000100,"21 | 10 | 2Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 2: Wearable Headset Device",Wearable Headset DevicePLT 510 Headset BLU Logic Motorola H350 Advent 80131 Motorola TX500 Plantronics M20 Bluetooth Headset Parrot v5.10Ci Parrot v5.11C Parrot v5.10C LG HBM-210 Bluetooth Headset Magellan Car Kit,"Yes00:19:7F – PLT 510 Headset – PLANTRONICS, INC.g 00:0D:18 – Mega-Trend Electronics CO., LTD. 00:1A:0E – Cheng Uei Precision Industry Co.,Ltd 00:02:78 – Samsung Electro-Mechanics Co., Ltd. 00:0D:FD – Huges Hi-Tech Inc., 00:23:7F – PLANTRONICS 00:12:1C – PARROT S.A. 00:12:1C – PARROT S.A. 00:12:1C – PARROT S.A. 00:18:6B – Sambu Communics CO., LTD. 00:22:4D – MITAC INTERNATIONAL CORP."
8,0x200408,001000000000010000001000,"21 | 10 | 3Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 3: Hands-free Device",Hands-free DeviceAudi UHV General Motors Garmin GPS 10 nuvi 350 BMW26262 Garmin Dezl GPS BMW BMW nuvi 2×5 Nokia CK-7W EGO FLASH Land Rover Bluetooth Magellan RoadMate Raytel TellPhone 5000 TomTom GO 710 TomTom DUO Suzuki TRIP Parrot v5.25C Car Kit Land Rover Aud NAVIGON GPS TomTom Toyota MOTONAV TN700 Garmin Dezl 760LMT 7-Inch CSR BC5 Bluetooth Module (CSR – bc5) Parrot v5.24C Garmin nuLink! Nokia CK-7W Garmin GPS,"Yes00:0E:9F – TEMIC SDS GmbH 00:1E:B2 – LG innotek 00:05:4F – Private 10:C6:FC – Garmin International 00:14:9A – Motorola Mobility, Inc 00:05:4F – Private 00:15:A8 – Motorola Mobility, Inc. 00:E0:0C – Motorola 00:05:4F – Private 00:08:3B – Unknown 00:0D:62 – Funkwerk Dabendorf GmbH 00:10:43 – A2 CORPORATION 00:22:4D – MITAC INTERNATIONAL CORP. 00:13:E0 – Murata Manufacturing Co., Ltd. 00:13:6C – Tomtom 00:13:6C – Tomtom 00:05:4F – Private 00:12:1C – PARROT S.A. 00:08:30 – CISCO SYSTEMS, INC. 00:16:D3 – Wistron Corporation 00:21:3E – Tomtom 00:24:A0 – Motorola Mobility, Inc. 10:C6:FC – Garmin International 00:05:4F – Private 00:12:1C – PARROT S.A. 00:05:4F – Private 00:10:1E – MATSUSHITA ELECTRONIC INSTRUMENTS CORP. 10:C6:FC – Garmin International"
9,0x240400,001001000000010000000000,"21,18 | 10 | noneMajor Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class none",noneGDI-IRP600 WiFi Internet Radio,"Yes00:1D:DF – Sunitec Enterprise Co., Ltd."
10,0x240404,001001000000010000000100,"21,18 | 10 | 2Major Service Class CoD Bit 21: Audio (Speaker, Microphone, Headset service, …) CoD Bit 18: Rendering (Printing, Speaker, …) Major Device Class CoD Bits 10: Audio/Video (headset,speaker,stereo, video display, vcr…) Minor Device Class CoD Bits 2: Wearable Headset Device",Wearable Headset DeviceVoyager Pro+ Headset Jaybird SB2 Headphones Unknown Hands Free Device Logitech Mobile Pro Headset JVC Unit Alpine KCE-305SBT Cobra iRadar iRAD-100 Radar Detector Inteq LCD Touchscreen Tunelink Auto Bluetooth FM Transmitter Looxcie KENWOOD BT MM-6U2 BluBridge mini-jack Rx KENWOOD BT MM-5U2 BLU Logic 1111 Motorola Roadster BlackBerry Stereo Gateway JABRA WAVE+ Motorola Roadster 2 MONOPRICE UNB-2000S Stereo Headset Iphone Bluetooth Hands Free Car Kit2 Motorola Elite Sliver Plantronics – M25 Headset (PLT_M25-M29) Plantronics PLT_M50 Bluetooth Headset Samsung HM6000 Bluetooth Headset SmartCord Live Naxa Bluetooth AM/FM/CD/MP3/USB/SAUX Player Car JVC KW-AVX820 Bluetooth(R)/DVD/CD/USB Receiver,"Yes00:23:7F – PLANTRONICS 00:18:91 – Zhongshan General K-mate Electronics Co., Ltd 00:08:E0 – ATO Technology Ltd. 00:10:60 – BILLIONTON SYSTEMS, INC. 00:10:60 BILLIONTON SYSTEMS, INC. 00:19:95 – Jurong Hi-Tech (Suzhou)Co.ltd B8:92:1D – BG T&A 00:0D:18 – Mega-Trend Electronics CO., LTD. C8:3E:99 – Texas Instruments 10:2D:96 – Looxcie Inc. 00:10:60 BILLIONTON SYSTEMS, INC. 00:1A:7D – cyber-blue(HK)Ltd 00:10:60 – BILLIONTON SYSTEMS, INC. 00:0D:18 – Mega-Trend Electronics CO., LTD. 00:24:1C – FuGang Electronic (DG) Co.,Ltd 00:1A:0E – Cheng Uei Precision Industry Co.,Ltd 50:C9:71 – GN Netcom A/S 00:24:1C – FuGang Electronic (DG) Co.,Ltd 00:53:0C – Unknown 00:0D:18 – Mega-Trend Electronics CO., LTD. 00:24:1C – FuGang Electronic (DG) Co.,Ltd 48:C1:AC – PLANTRONICS, INC. 48:C1:AC – PLANTRONICS, INC. 38:0A:94 – Samsung Electronics Co.,Ltd D8:76:0A – Escort, Inc. 00:13:04 – Flaircomm Technologies Co. LTD 00:1D:BA – Sony Corporation"
